rq_eixo_processo,metrica_qualidade,n,pearson_r,pearson_p,spearman_rho,spearman_p
stars,cbo_median,41,-0.294192,0.06189461,-0.144504,0.36737143
stars,dit_median,41,-0.119878,0.4553329,-0.181828,0.25521287
stars,lcom_median,41,0.268603,0.08949325,0.054155,0.73665615
repo_age_years,cbo_median,41,-0.172477,0.28088043,-0.133838,0.40414387
repo_age_years,dit_median,41,0.294823,0.06131231,0.315793,0.04429109
repo_age_years,lcom_median,41,-0.146534,0.36060952,-0.07505,0.64096461
releases_total,cbo_median,41,0.003646,0.98195164,0.085189,0.59640957
releases_total,dit_median,41,-0.077476,0.63018091,-0.071966,0.65477713
releases_total,lcom_median,41,-0.077611,0.62958318,-0.001408,0.99302824
loc,cbo_median,41,-0.049034,0.76078873,-0.030248,0.85108452
loc,dit_median,41,0.017403,0.91400151,0.076556,0.63426201
loc,lcom_median,41,-0.112734,0.48282371,-0.101564,0.52748166
